问题,答案
你们的营业时间是几点？,我们每天的营业时间是早上 8:00 到晚上 22:00。
店里有WIFI吗？,有的，店内提供免费WIFI，名称是 SmartBrew-Guest，密码是 coffee888。
可以带宠物进店吗？,非常抱歉，为了食品卫生安全，店内暂时不允许宠物入内（导盲犬除外），不过我们有户外座位区可以就坐。
买咖啡送券吗？,新用户注册APP即可获得一张5折优惠券，每单消费满50元也会赠送积分。
下单后多久取餐？,对于【餐饮外卖订单】：我们承诺下单后 3 分钟内开始制作，通常 30-45 分钟内送达（视配送距离而定）。\n对于【咖啡豆/周边电商订单】：每日 16:00 前支付的订单当日通过顺丰发货，16:00 后的订单次日发货。
如何申请退款？,1. 若您的饮品制作有误、撒漏或有质量问题，请直接在 APP/小程序订单详情页点击「申请售后」，系统将为您转接人工客服极速处理。\n2. 周边商品（杯子、器具）在未拆封不影响二次销售的情况下，支持 7 天无理由退换货。
会员积分有什么用？,智咖云会员积分（Smart Point）规则如下：\n1. 获取：每消费 1 元 = 1 积分。\n2. 兑换：每 500 积分可兑换一张「标准饮品兑换券」（价值28元）。\n3. 有效期：积分自产生之日起 12 个月内有效，年底自动清零，请及时使用。
你们的咖啡豆是新鲜的吗？,是的。智咖云承诺所有门店使用的意式拼配豆（SmartBlend）均为「烘焙后 14 天 - 45 天」的最佳赏味期内。单品手冲豆均为「烘焙后 60 天内」。超过赏味期的咖啡豆会用于制作咖啡渣赠品，绝不售卖。
是否支持开发票？,支持。您可以在 APP/小程序「我的」-「发票管理」中选择订单进行开票。我们支持电子普通发票，申请后 5 分钟内发送至您的邮箱。
可以加盟吗？,感谢您的关注！SmartBrew 目前采用「全直营」模式，暂不接受任何形式的加盟申请。如有场地合作意向，请发送邮件至 bd@smartbrew.com。
饮品可以定制甜度和温度吗？,当然可以。我们的饮品支持高度定制化：\n- 温度：热 / 标准冰 / 少冰 / 去冰\n- 糖度：标准糖 / 半糖 / 微糖 / 不加糖\n- 换奶：可免费更换为脱脂奶，或加价更换为燕麦奶/厚椰乳。
